NbThreads,Time1,Time2,Time3,Time4,Time5
1,8.62,8.13,8.13,8.12,8.18
2,4.27,4.28,4.26,4.28,4.27
3,3.13,3.10,3.08,3.07,3.09
4,2.52,2.49,2.53,2.52,2.51
5,2.56,2.48,2.53,2.53,2.52
6,2.51,2.56,2.54,2.55,2.57
7,2.56,2.55,2.58,2.58,2.59
8,2.60,2.58,2.57,2.63,2.61
