NbThreads,Time1,Time2,Time3,Time4,Time5
1,8.31,8.14,8.14,8.14,8.14
2,4.40,4.28,4.28,4.28,4.28
3,3.13,3.04,3.03,3.05,3.03
4,2.53,2.43,2.42,2.45,2.44
5,2.34,2.24,2.25,2.26,2.24
6,2.26,2.14,2.11,2.13,2.14
7,2.15,2.05,2.02,2.02,2.05
8,2.09,1.93,1.99,1.98,1.97
